file_name,genre_name,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std
jazz.00018.wav,jazz,0.088,0.026,1993.353,254.467,4248.195,631.429,-192.073,105.57,-26.021,40.166,-6.662,26.504,-10.379,18.474,-14.003,14.932,-12.696,9.58,-5.198,7.834,-3.853,12.367,-1.11,-0.784,-2.984,0.35,23.745,11.758,14.524,7.876,6.157,4.867,5.633,5.934,5.278,5.142,5.011,5.416,6.17,6.589,6.883,7.565,6.934,7.552,7.466,8.008
jazz.00012.wav,jazz,0.064,0.022,1650.852,346.039,3658.43,1096.04,-253.175,122.695,-5.664,40.563,-5.825,18.397,-16.657,14.585,-15.156,8.203,-13.889,8.285,-7.301,5.413,-6.312,2.784,-4.23,0.537,-1.494,-2.542,48.477,19.004,22.831,9.865,8.134,8.046,7.04,7.466,6.382,6.521,6.29,7.186,5.893,6.53,6.65,6.426,5.626,6.226,6.155,5.621
jazz.00015.wav,jazz,0.074,0.025,1782.224,318.52,3811.943,974.025,-199.976,117.235,-12.376,39.111,-6.352,16.529,-17.303,13.626,-17.664,14.038,-10.204,12.183,-6.709,7.749,-8.081,2.63,-6.65,4.867,0.698,0.463,42.69,18.107,21.965,9.743,7.636,7.602,7.985,7.112,6.027,7.177,6.182,6.844,5.964,6.709,6.502,7.633,9.189,9.848,8.535,8.971
jazz.00009.wav,jazz,0.032,0.012,749.354,214.113,1133.549,479.689,-296.69,172.366,16.886,18.926,1.371,14.396,1.014,9.516,-7.4,3.515,-7.65,-0.109,-7.932,-3.188,-8.081,-4.067,-0.836,-3.871,-2.822,-6.924,36.162,20.062,15.549,10.202,9.89,9.3,9.518,7.93,8.549,6.999,7.525,7.648,10.013,10.174,8.867,9.54,9.43,8.099,9.363,7.94
jazz.00008.wav,jazz,0.046,0.026,1304.589,417.42,2723.984,1032.236,-189.948,134.417,-25.642,45.72,8.195,21.436,-4.573,14.384,-12.656,10.276,-7.93,-1.14,-5.045,2.414,-5.011,-2.157,-4.239,1.845,-0.441,-4.771,55.424,22.86,27.611,11.08,12.548,9.973,11.178,11.541,9.34,8.739,8.354,7.557,7.05,7.025,6.265,6.727,7.917,8.253,8.679,8.042
jazz.00006.wav,jazz,0.048,0.026,1219.493,515.04,2416.149,1119.387,-234.359,142.735,-14.275,51.951,-8.183,12.76,-4.269,12.074,-13.696,-1.567,-3.969,4.919,-3.943,2.188,-6.673,-9.767,-4.475,-5.544,-1.165,-1.099,80.125,37.241,24.651,19.308,14.041,11.286,14.079,10.908,10.279,8.182,10.18,8.119,7.445,7.507,7.568,7.52,7.693,10.254,12.225,11.528
jazz.00011.wav,jazz,0.077,0.027,1825.674,360.827,4010.871,1089.698,-192.501,113.18,-6.335,39.571,-9.164,17.202,-19.082,12.191,-15.468,9.675,-10.941,12.932,-7.265,8.484,-4.16,0.968,-7.139,1.172,-1.181,-1.299,41.61,17.551,19.105,8.954,6.915,7.059,7.404,6.416,6.29,5.877,5.885,6.857,6.224,5.649,6.097,7.759,7.691,7.379,8.069,8.232
jazz.00016.wav,jazz,0.07,0.035,1465.857,378.553,2822.407,859.768,-259.877,123.187,-6.391,37.57,-2.978,13.058,-14.083,5.31,-11.962,3.525,-9.634,5.333,-7.843,3.258,-0.553,2.888,-0.028,2.098,1.11,2.936,52.877,25.866,19.133,13.563,9.067,10.421,9.285,8.534,8.704,7.254,7.287,8.222,7.762,7.982,11.163,10.479,10.661,12.65,11.697,9.794
jazz.00026.wav,jazz,0.059,0.054,1367.327,649.927,2631.281,1604.213,-414.035,104.865,-7.84,37.852,0.176,23.409,-7.303,5.758,-1.057,8.496,-5.506,0.867,-1.461,7.725,1.239,6.025,5.239,2.425,7.62,9.826,65.953,33.536,30.231,13.211,14.991,11.544,9.756,9.749,9.311,7.195,7.05,7.101,9.458,10.15,15.696,19.466,16.932,14.768,17.325,22.496
jazz.00030.wav,jazz,0.085,0.053,1687.87,508.461,3354.658,949.735,-319,115.665,-23.02,52.594,-12.798,14.616,-8.205,0.298,-23.84,10.854,-9.563,7.47,-4.249,2.976,-4.402,-1.043,-5.384,-5.516,-6.978,-1.73,50.318,29.09,23.32,12.786,11.997,8.335,8.349,7.719,9.179,8.301,7.806,9.362,9.29,8.714,10.34,9.682,11.749,10.123,7.716,10.238
jazz.00020.wav,jazz,0.033,0.023,1171.224,341.61,2579.629,926.033,-376.732,119.151,-2.952,48.51,13.166,21.252,0.019,8.012,-0.398,2.38,-0.029,0.903,1.667,-0.145,1.336,-0.194,1.98,2.71,1.764,0.461,57.555,19.798,20.967,9.633,10.317,9.152,9.39,7.286,9.789,7.046,8.033,6.08,7.51,8.654,7.739,9.006,10.425,9.65,8.264,9.238
jazz.00023.wav,jazz,0.08,0.031,1988.662,467.992,4316.991,1048.289,-188.082,98.613,-11.285,47.219,-20.336,18.789,-15.791,13.691,-15.47,17.422,1.004,18.287,4.64,9.828,-5.499,2.13,-6.247,-3.418,-2.994,2.217,40.322,23.25,13.231,9.404,8.027,5.864,7.117,7.078,7.74,7.917,9.799,9.897,10.814,13.218,11.33,8.821,8.079,6.445,9.144,10.916
jazz.00028.wav,jazz,0.075,0.024,1854.026,333.736,4031.289,1012.064,-233.765,108.454,-10.683,38.7,-10.768,14.159,-16.256,10.375,-20.814,10.081,-12.013,7.768,-12.032,3.372,-6.356,3.989,-1.276,-3.827,-6.227,-4.947,45.516,16.089,21.397,12.193,7.523,8.839,6.203,5.874,5.871,6.247,7.412,7.522,7.869,7.932,10.273,10.693,9.809,10.816,10.624,9.802
jazz.00027.wav,jazz,0.063,0.026,1769.393,325.951,3966.339,821.451,-262.061,108.99,-6.338,55.166,-10.659,18.519,-4.245,18.545,-19.703,17.573,-10.977,11.927,-3.432,7.183,-8.859,4.972,-4.034,-0.097,-0.81,-0.611,44.276,15.093,20.105,7.517,7.403,7.528,6.44,5.47,8.23,5.747,5.911,5.8,6.243,6.302,6.292,6.183,8.168,10.435,10.267,8.979
jazz.00031.wav,jazz,0.072,0.03,1752.759,302.545,3734.071,704.108,-237.502,115.931,-15.41,47.104,-13.506,18.194,-13.942,15.34,-17.527,13.4,-6.234,8.63,-7.238,4.782,-4.397,4.507,-4.261,2.312,-9.929,-4.328,39.642,16.978,21.479,9.199,6.674,6.442,6.28,5.174,5.444,5.369,6.41,7.675,6.347,6.876,7.638,10.69,9.092,9.38,10.497,9.047
jazz.00025.wav,jazz,0.064,0.027,1697.836,404.468,3805.64,1117.264,-237.639,108.32,2.031,41.765,-10.456,16.945,-8.591,12.8,-9.111,15.943,-6.526,7.172,-8.256,-0.199,-8.692,-2.248,-4.73,-3.511,1.46,2.412,59.211,19.602,20.304,11.951,10.283,7.602,7.056,6.945,7.537,9.754,9.714,9.977,10.254,10.005,9.847,8.352,7.028,10.328,12.654,13.139
jazz.00021.wav,jazz,0.181,0.086,2915.018,682.634,5864.933,1032.963,-174.68,75.895,-12.799,52.616,-29.401,22.76,-22.363,18.626,-24.712,21.167,-13.806,13.013,-7.863,8.019,-5.967,9.532,-6.002,2.348,-3.352,2.509,37.046,26.092,16.542,8.344,7.674,6.856,7.494,5.59,6.76,6.46,5.232,5.658,5.111,6.304,7.042,7.241,6.637,7.565,8.271,7.653
jazz.00019.wav,jazz,0.055,0.02,1352.804,297.755,2712.967,808.33,-267.279,129.05,-14.72,41.267,-1.015,22.958,-8.13,11.183,-9.079,11.321,-5.505,13.57,-1.184,1.879,-2.708,3.286,-1.598,0.258,-0.613,4.52,38.48,21.402,19.166,11.463,8.334,7.071,5.742,6.48,6.342,6.209,7.314,9.04,7.402,8.7,9.102,9.356,7.703,9.104,9.426,11.708
jazz.00029.wav,jazz,0.099,0.032,2235.344,405.821,4683.93,963.802,-232.929,93.822,-16.178,49.586,-13.945,13.493,-11.825,13.293,-25.817,17.375,-13.314,9.284,-5.487,1.924,-14.403,2.591,-11.48,-1.236,-5.205,-3.874,36.002,18.284,16.568,10.085,9.283,8.333,6.735,5.846,6.776,5.719,4.948,6.05,6.748,7.13,6.928,6.265,6.998,9.167,8.465,8.667
jazz.00022.wav,jazz,0.051,0.025,1451.871,428.772,3047.564,1356.562,-298.757,112.057,6.487,28.405,-6.754,16.66,-11.8,12.752,-8.345,13.884,-4.242,2.323,-4.32,1.416,0.707,13.457,9.404,6.919,7.883,-1.776,39.431,19.725,17.912,10.277,10.057,7.858,9.044,6.985,6.883,8.02,10.577,11.241,10.988,10.61,11.844,13.81,14.124,14.976,13.612,12.398
jazz.00024.wav,jazz,0.093,0.051,2034.479,560.724,4342.463,1252.527,-202.585,105.844,-20.556,43.883,-14.273,25.291,-15.588,15.317,-13.287,12.272,-8.763,10.158,-1.858,6.189,0.232,8.043,-3.158,-0.464,-3.585,0.714,54.815,26.021,22.956,13.109,9.313,7.049,8.268,7.887,7.659,7.873,8.016,7.73,8.055,8.453,9.334,10.548,7.947,9.227,8.345,8.161
jazz.00036.wav,jazz,0.1,0.057,1481.569,532.176,2657.352,886.177,-196.911,152.829,-36.862,41.793,-8.68,4.397,-11.549,1.411,-14.725,0.466,-10.162,-6.926,-6.244,-3.716,-4.562,-6.403,-2.89,-4.858,-5.887,-9.12,53.601,28.367,25.307,16.657,10.713,8.322,8.452,7.205,7.29,7.387,9.552,7.102,7.459,7.581,7.146,7.491,8.193,7.794,10.202,10.074
jazz.00042.wav,jazz,0.061,0.029,1344.256,432.351,2771.763,1058.734,-206.823,141.84,-13.787,49.328,-24.796,11.787,-12.778,-16.566,-8.378,-1.224,-7.657,-1.378,-9.349,-7.5,-2.864,-6.155,-0.942,-1.291,-2.233,-3.274,68.324,23.062,23.043,12.683,14.295,10.836,9.931,9.724,8.02,6.658,7.018,5.536,7.145,7.13,6.825,7.658,8.282,8.019,9.858,10.048
jazz.00043.wav,jazz,0.086,0.029,1761.323,348.112,3463.107,830.104,-173.176,111.634,-35.907,45.839,-11.407,19.695,-8.062,17.944,-8.935,14.707,-10.318,4.675,-11.806,3.229,-7.98,0.096,-3.573,-0.439,-2.106,-4.894,54.836,21.583,22.926,14.436,9.086,10.336,9.494,9.51,14.796,9.831,9.049,10.198,9.403,9.372,8.695,6.848,8.197,11.768,11.74,11.447
jazz.00035.wav,jazz,0.038,0.011,844.084,226.588,1608.487,654.665,-261.893,182.538,-16.892,49.85,-1.205,6.324,6.013,-8.899,-10.305,-3.21,-5.359,-3.551,-2.893,-7.47,-0.54,1.125,-1.974,-5.219,-1.867,-3.503,51.057,21.42,25.526,15.12,9.555,8.246,8.43,7.462,7.541,7.812,7.271,5.759,6.248,6.209,5.385,6.572,5.987,8.065,6.541,7.342
jazz.00041.wav,jazz,0.101,0.046,1617.443,399.958,3103.612,664.582,-216.31,135.014,-35.48,61.603,-14.553,11.037,1.214,10.954,-8.294,-1.446,0.121,8.272,-4.58,0.575,-6.097,0.2,-0.598,-5.046,-1.251,-7.217,87.464,19.619,29.435,12.369,14.76,9.727,8.602,10.05,10.328,10.658,10.546,12.301,10.57,11.987,9.995,9.026,8.794,9.38,11.011,12.176
jazz.00034.wav,jazz,0.079,0.047,1759.487,516.643,3574.104,761.237,-146.334,118.202,-34.683,58.778,-14.961,34.306,-6.583,13.894,-14.636,9.191,-11.326,1.096,-5.498,-0.165,-2.198,-2.726,1.134,-5.594,-2.763,-7.145,53.4,25.177,19.869,11.434,8.346,7.327,7.779,6.729,8.716,8.443,8.666,9.09,8.885,9.773,9.177,9.55,9.993,9.261,9.995,11.606
jazz.00033.wav,jazz,0.042,0.02,1169.145,364.629,2443.178,902.406,-261.821,139.55,-17.107,49.89,-5.86,19.839,1.865,5.707,-7.827,-0.433,-1.252,-2.196,4.469,-0.325,0.103,-0.283,1.987,-2.636,-1.154,-5.372,70.108,20.844,19.331,10.768,15.517,6.096,11.227,7.003,9.71,5.909,6.79,5.309,4.927,5.317,5.212,5.132,5.819,5.706,6.183,8.329
jazz.00037.wav,jazz,0.052,0.02,1276.195,351.955,2467.284,971.867,-198.487,140.717,-18.421,30.511,-6.69,15.722,-0.728,7.293,-6.587,6.066,-5.122,3.456,-2.835,7.181,-0.31,-2.03,3.129,0.861,1.523,-0.225,46.187,20.959,21.163,15.013,8.837,8.938,7.877,8.067,7.846,7.905,6.961,7.249,8.223,7.843,8.407,9.51,9.433,9.374,10.774,12.705
jazz.00040.wav,jazz,0.055,0.025,1316.854,426.696,2778.408,1090.536,-179.788,147.777,-20.474,58.619,-23.797,2.459,-3.192,-9.325,-5.757,-0.428,-8.355,3.09,-6.853,-4.39,-1.172,-4.266,-0.55,-3.583,1.501,-0.602,35.442,24.798,22.517,19.69,13.246,13.453,11.385,9.378,8.628,8.898,8.1,8.797,8.429,7.833,7.411,7.304,7.853,10.448,12.487,12.921
jazz.00038.wav,jazz,0.066,0.024,1554.624,280.688,3216.774,699.307,-179.571,124.311,-29.727,45.351,-10.183,17.756,-8.799,12.74,-10.743,8.604,-12.389,3.382,-12.022,6.514,-9.864,-2.812,-5.12,-1.204,-1.879,-5.631,52.699,17.34,23.06,15.78,9.215,8.743,6.96,7.857,6.968,6.665,6.465,6.901,6.52,8.681,7.299,6.266,7.264,7.345,6.77,7.102
jazz.00039.wav,jazz,0.076,0.034,1310.931,380.849,2723.567,844.256,-237.322,146.841,-24.419,64.271,-10.81,3.275,-1.32,2.696,5.142,0.394,9.634,2.509,3.125,7.745,-1.528,1.732,0.782,-2.445,4.02,-1.991,71.655,15.511,23.463,14.05,18.186,12.166,14.552,13.314,8.97,10.645,11.702,12.47,9.693,8.641,10.627,9.757,9.636,9.767,8.77,9.554
jazz.00032.wav,jazz,0.061,0.034,1521.904,572.053,3251.272,1538.911,-305.445,121.933,2.606,36.942,-8.559,17.92,-9.269,10.572,-9.93,2.325,-12.683,0.312,-8.622,2.594,-6.973,-2.915,-4.643,-3.241,-4.445,-3.956,60.394,27.15,13.687,9.244,8.762,8.387,8.521,7.463,7.843,7.404,8.353,6.549,9.655,8.415,10.824,9.999,10.255,11.212,11.718,9.764
jazz.00048.wav,jazz,0.079,0.026,1748.401,363.821,3685.442,882.234,-204.754,117.431,-20.94,42.016,-10.348,19.232,-11.635,7.984,-20.271,8.784,-11.705,5.171,-11.233,6.072,-5.139,7.819,-1.204,-1.07,-3.16,-1.539,40.626,18.131,11.789,9.019,9.459,8.83,8.115,6.492,6.947,7.267,8.425,8.994,8.061,10.014,10.474,9.636,8.708,9.055,8.756,8.515
jazz.00044.wav,jazz,0.05,0.023,1004.611,355.037,1809.963,749.228,-247.044,168.026,-19.708,21.937,-0.728,15.073,-1.24,4.736,-2.03,6.53,-1.392,5.61,-0.293,5.661,3.21,1.867,7.023,5.049,2.446,-0.909,60.098,28.167,25.213,14.321,11.727,10.091,9.607,9.732,8.898,8.016,8.09,9.236,10.551,9.208,8.909,11.585,12.182,12.207,11.341,12.797
jazz.00046.wav,jazz,0.059,0.02,1295.181,286.437,2695.614,701.631,-204.184,147.606,-25.215,49.34,-15.66,2.7,-7.841,-10.644,-4.794,-3.67,-3.513,1.56,1.48,-2.732,-0.29,-2.22,1.519,-1.056,-1.778,-2.472,63.546,15.921,22.723,10.803,12.27,12.94,9.485,7.743,8.937,8.632,7.581,7.397,10.254,9.636,10.607,10.779,7.95,8.204,8.567,8.526
jazz.00049.wav,jazz,0.065,0.044,2049.641,724.379,4562.175,1769.497,-165.484,87.278,24.829,28.397,-2.772,-1.329,-14.075,-4.765,-19.207,-0.603,-11.943,-8.325,-8.23,-0.421,-6.42,-1.532,2.018,-0.446,-0.905,1.543,57.491,30.451,23.948,16.872,12.07,13.948,12.232,11.119,9.84,15.477,9.61,9.156,7.921,9.852,10.884,12.787,13.802,11.481,11.769,14.603
jazz.00047.wav,jazz,0.094,0.044,1981.662,503.397,4261.343,1129.97,-201.77,109.305,-15.516,44.276,-11.048,18.844,-11.311,18.402,-18.912,11.216,-11.906,6.961,-11.654,7.082,-9.118,9.885,-5.661,-3.324,-5.448,-0.313,46.304,22.759,13.716,8.659,7.67,7.123,7.366,6.261,6.106,6.538,5.82,5.269,5.526,5.72,5.978,6.829,6.707,6.7,8.435,8.178
jazz.00057.wav,jazz,0.062,0.036,1378.524,410.28,2584.909,943.196,-248.031,125.956,-12.609,30.273,-1.075,-2.226,1.929,0.229,2.701,-4.4,-6.445,-6.496,-3.991,2.323,0.35,-4.049,-1.498,-3.52,-6.187,-7.341,56.937,20.036,22.292,11.92,10.144,8.964,7.36,7.215,8.658,7.604,9.785,7.319,8.367,7.579,7.795,7.012,8.55,9.72,10.669,9.539
jazz.00045.wav,jazz,0.043,0.015,937.422,240.61,1763.016,624.655,-231.299,174.379,-19.723,47.348,-1.943,6.657,-1.088,-5.515,-13.739,-3.71,-6.308,-1.505,-2.624,-7.271,-2.309,1.029,-1.11,-8.569,-4.061,-3.922,53.554,19.134,23.21,12.025,8.477,7.172,8.025,6.239,7.671,6.789,7.05,5.689,5.761,5.94,5.978,7.911,6.528,7.567,6.56,7.084
jazz.00050.wav,jazz,0.081,0.029,2485.941,456.231,5797.387,1173.449,-54.857,77.319,8.344,31.687,11.312,11.735,7.878,13.474,-2.217,5.589,1.525,7.421,-0.924,1.602,-6.051,1.21,3.226,2.954,2.442,1.922,31.66,18.516,14.622,10.843,9.562,6.928,6.767,6.024,6.174,6.771,6.811,5.838,5.36,5.305,5.325,4.967,5.997,7.477,7.738,6.45
jazz.00052.wav,jazz,0.077,0.044,2289.575,610.804,5243.625,1398.325,-91.503,82.659,12.089,36.698,-0.766,13.453,5.65,9.665,-3.749,1.806,1.497,1.262,0.81,4.393,0.56,3.855,-0.3,0.231,1.76,1.665,47.174,24.274,16.466,10.571,11.568,8.055,7.459,5.458,6.401,6.627,6.352,7.446,6.104,8.179,7.765,7.721,7.321,8.45,8.802,7.189
jazz.00051.wav,jazz,0.042,0.02,1193.266,366.265,2479.174,905.649,-260.928,138.559,-16.34,49.156,-5.259,19.35,2.205,5.551,-7.88,-0.209,-1.621,-1.724,3.945,0.228,-0.435,0.228,1.516,-2.239,-1.454,-5.162,70.653,21.172,18.548,10.529,14.799,5.914,10.847,7.047,9.532,5.875,6.884,5.275,4.903,5.274,5.335,4.913,5.929,5.566,6.125,8.355
jazz.00055.wav,jazz,0.038,0.011,871.436,224.215,1631.977,657.194,-260.397,180.652,-15.385,48.572,-0.092,5.435,6.592,-9.166,-10.29,-2.986,-5.815,-2.929,-3.621,-6.675,-1.353,1.893,-2.675,-4.601,-2.377,-3.115,51.363,22.184,24.72,14.312,9.084,8.232,8.401,7.168,7.219,7.619,7.243,5.678,6.187,6.101,5.465,6.691,6.044,7.855,6.669,7.233
jazz.00056.wav,jazz,0.115,0.044,2976.347,519.46,6860.793,996.742,-37.889,65.093,14.329,21.305,7.497,6.318,1.899,6.557,-2.917,5.564,2.439,2.994,0.592,2.011,-1.764,4.521,0.084,-2.027,-3.867,-2.115,35.836,17.695,11.207,9.296,7.35,7.014,7.651,6.915,6.806,6.989,7.373,7.98,7.87,7.604,6.691,6.445,5.801,6.183,7.913,7.828
jazz.00053.wav,jazz,0.08,0.048,1804.591,545.799,3646.364,819.044,-141.025,110.78,-27.506,51.985,-8.675,28.635,-1.61,9.671,-11.189,6.522,-9.41,-0.112,-4.934,-0.162,-2.676,-1.863,-0.019,-4.241,-4.229,-5.644,55.933,29.77,18.854,10.079,7.032,8.094,7.143,6.854,7.671,6.665,8.296,8.067,8.581,9.618,9.198,9.312,9.909,8.988,10.033,11.56
jazz.00053.wav,jazz,0.08,0.048,1804.591,545.799,3646.364,819.044,-141.025,110.78,-27.506,51.985,-8.675,28.635,-1.61,9.671,-11.189,6.522,-9.41,-0.112,-4.934,-0.162,-2.676,-1.863,-0.019,-4.241,-4.229,-5.644,55.933,29.77,18.854,10.079,7.032,8.094,7.143,6.854,7.671,6.665,8.296,8.067,8.581,9.618,9.198,9.312,9.909,8.988,10.033,11.56
jazz.00060.wav,jazz,0.052,0.021,1427.401,421.757,2728.905,1187.514,-190.423,129.542,-7.846,20.726,2.203,7.798,6.192,1.351,-1.598,2.015,-1.986,1.177,-1.347,6.418,-0.204,-1.573,2.238,2.04,0.177,1.186,48.466,23.603,20.962,14.095,8.027,8.079,6.799,7.486,7.31,6.968,6.513,6.687,7.805,7.639,7.983,9.5,9.249,9.357,10.685,12.777
jazz.00070.wav,jazz,0.05,0.023,1116.217,402.812,1954.126,931.234,-238.008,155.917,-9.196,13.171,6.586,8.898,4.001,0.271,1.767,3.357,1.174,3.611,1.15,4.804,3.481,2.067,6.538,5.658,1.796,-0.257,61.478,31.239,24.564,12.62,8.892,8,7.183,7.869,7.287,7.005,6.798,8.633,9.811,9.285,8.551,11.1,12.37,11.757,11.446,12.761
jazz.00059.wav,jazz,0.038,0.027,1391.474,594.008,2913.813,1883.074,-179.77,114.688,28.392,36.071,11.152,12.771,3.8,8.485,-0.053,5.394,1.012,2.676,-3.731,-0.328,-0.828,2.481,0.157,1.519,-1.286,1.408,64.702,28.812,22.69,10.326,9.434,9.008,8.307,8.319,10.593,8.656,8.305,7.246,8.265,8.795,8.979,8.642,8.989,8.836,10.095,9.641
